"trial_number_within_block","completion_code","condition","news_station_first","with_independent_council","X_I","X_F","source_type","block_stage","block_half","block_quarter","correct_state","posterior_blue_I","posterior_blue_F","ground_truth","change_of_mind"
1,"oovk5u7v","Without","First","true",1,3,"bluebias","normal",1,1,"green",0.74,0.36,-1,-0.38
2,"oovk5u7v","Without","First","true",3,5,"bluebias","normal",1,1,"green",0.85,0.93,-1,0.0800000000000001
3,"oovk5u7v","Without","First","true",3,4,"bluebias","normal",1,1,"blue",0.81,0.81,1,0
4,"oovk5u7v","Without","First","true",1,1,"bluebias","normal",1,1,"green",0.15,0.1,-1,-0.05
5,"oovk5u7v","Without","First","true",4,4,"bluebias","normal",1,1,"blue",0.93,1,1,0.07
6,"oovk5u7v","Without","First","true",2,3,"bluebias","normal",1,1,"green",0.75,0.51,-1,-0.24
7,"oovk5u7v","Without","First","true",1,4,"bluebias","normal",1,1,"green",0.84,0.48,-1,-0.36
8,"oovk5u7v","Without","First","true",2,5,"bluebias","normal",1,2,"blue",0.78,0.86,1,0.08
9,"oovk5u7v","Without","First","true",4,4,"bluebias","normal",1,2,"blue",0.77,1,1,0.23
10,"oovk5u7v","Without","First","true",1,3,"bluebias","normal",1,2,"green",0.73,0.49,-1,-0.24
11,"oovk5u7v","Without","First","true",3,5,"bluebias","normal",1,2,"blue",0.82,1,1,0.18
12,"oovk5u7v","Without","First","true",3,5,"bluebias","normal",1,2,"blue",0.82,1,1,0.18
13,"oovk5u7v","Without","First","true",1,1,"bluebias","normal",1,2,"green",0.24,0,-1,-0.24
14,"oovk5u7v","Without","First","true",4,5,"bluebias","normal",1,2,"blue",0.76,1,1,0.24
15,"oovk5u7v","Without","First","true",1,2,"bluebias","normal",2,3,"green",0.22,0.1,-1,-0.12
16,"oovk5u7v","Without","First","true",1,3,"bluebias","normal",2,3,"green",0.76,0.41,-1,-0.35
17,"oovk5u7v","Without","First","true",4,4,"bluebias","normal",2,3,"blue",0.78,1,1,0.22
18,"oovk5u7v","Without","First","true",3,4,"bluebias","normal",2,3,"blue",0.75,0.82,1,0.07
19,"oovk5u7v","Without","First","true",1,2,"bluebias","normal",2,3,"green",0.24,0.06,-1,-0.18
20,"oovk5u7v","Without","First","true",3,5,"bluebias","normal",2,3,"blue",0.81,0.93,1,0.12
21,"oovk5u7v","Without","First","true",4,4,"bluebias","normal",2,3,"blue",0.77,0.92,1,0.15
22,"oovk5u7v","Without","First","true",2,4,"bluebias","normal",2,4,"blue",0.81,0.64,1,-0.17
23,"oovk5u7v","Without","First","true",5,5,"bluebias","normal",2,4,"blue",0.75,1,1,0.25
24,"oovk5u7v","Without","First","true",3,5,"bluebias","normal",2,4,"blue",0.77,0.94,1,0.17
25,"oovk5u7v","Without","First","true",2,1,"bluebias","normal",2,4,"green",0.18,0.12,-1,-0.06
26,"oovk5u7v","Without","First","true",3,4,"bluebias","normal",2,4,"green",0.82,0.74,-1,-0.08
27,"oovk5u7v","Without","First","true",1,3,"bluebias","normal",2,4,"green",0.66,0.45,-1,-0.21
28,"oovk5u7v","Without","First","true",4,2,"bluebias","normal",2,4,"green",0.21,0.67,-1,0.46
29,"oovk5u7v","Without","First","true",NA,4,"bluebias","station_only",NA,NA,"blue",0.84,NA,1,NA
30,"oovk5u7v","Without","First","true",NA,1,"bluebias","station_only",NA,NA,"blue",0.2,NA,1,NA
31,"oovk5u7v","Without","First","true",NA,3,"bluebias","station_only",NA,NA,"blue",0.66,NA,1,NA
32,"oovk5u7v","Without","First","true",NA,2,"bluebias","station_only",NA,NA,"blue",0.37,NA,1,NA
33,"oovk5u7v","Without","First","true",NA,5,"bluebias","station_only",NA,NA,"blue",0.76,NA,1,NA
34,"oovk5u7v","Without","First","true",NA,0,"bluebias","station_only",NA,NA,"blue",0.24,NA,1,NA
1,"oovk5u7v","Without","First","true",3,2,"random","normal",1,1,"green",0.5,0.66,-1,0.16
2,"oovk5u7v","Without","First","true",3,2,"random","normal",1,1,"blue",0.42,0.7,1,0.28
3,"oovk5u7v","Without","First","true",4,3,"random","normal",1,1,"blue",0.62,0.82,1,0.2
4,"oovk5u7v","Without","First","true",0,2,"random","normal",1,1,"green",0.32,0,-1,-0.32
5,"oovk5u7v","Without","First","true",3,3,"random","normal",1,1,"blue",0.64,0.76,1,0.12
6,"oovk5u7v","Without","First","true",5,2,"random","normal",1,1,"blue",0.25,0.94,1,0.69
7,"oovk5u7v","Without","First","true",0,5,"random","normal",1,1,"green",0.75,0.5,-1,-0.25
8,"oovk5u7v","Without","First","true",2,1,"random","normal",1,2,"green",0.27,0.5,-1,0.23
9,"oovk5u7v","Without","First","true",3,4,"random","normal",1,2,"blue",0.78,0.81,1,0.03
10,"oovk5u7v","Without","First","true",2,2,"random","normal",1,2,"green",0.32,0.3,-1,-0.02
11,"oovk5u7v","Without","First","true",4,2,"random","normal",1,2,"blue",0.27,0.57,1,0.3
12,"oovk5u7v","Without","First","true",4,1,"random","normal",1,2,"blue",0.24,0.52,1,0.28
13,"oovk5u7v","Without","First","true",0,3,"random","normal",1,2,"green",0.73,0.24,-1,-0.49
14,"oovk5u7v","Without","First","true",1,4,"random","normal",1,2,"green",0.76,0.33,-1,-0.43
15,"oovk5u7v","Without","First","true",1,2,"random","normal",2,3,"green",0.5,0.28,-1,-0.22
16,"oovk5u7v","Without","First","true",0,4,"random","normal",2,3,"green",0.57,0.1,-1,-0.47
17,"oovk5u7v","Without","First","true",3,2,"random","normal",2,3,"green",0.34,0.55,-1,0.21
18,"oovk5u7v","Without","First","true",2,2,"random","normal",2,3,"green",0.5,0.36,-1,-0.14
19,"oovk5u7v","Without","First","true",2,3,"random","normal",2,3,"green",0.63,0.48,-1,-0.15
20,"oovk5u7v","Without","First","true",4,4,"random","normal",2,3,"blue",0.75,0.86,1,0.11
21,"oovk5u7v","Without","First","true",2,2,"random","normal",2,3,"blue",0.35,0.25,1,-0.1
22,"oovk5u7v","Without","First","true",0,3,"random","normal",2,4,"blue",0.59,0.19,1,-0.4
23,"oovk5u7v","Without","First","true",4,3,"random","normal",2,4,"blue",0.7,0.79,1,0.0900000000000001
24,"oovk5u7v","Without","First","true",3,4,"random","normal",2,4,"blue",0.76,0.66,1,-0.1
25,"oovk5u7v","Without","First","true",1,3,"random","normal",2,4,"green",0.71,0.35,-1,-0.36
26,"oovk5u7v","Without","First","true",3,2,"random","normal",2,4,"blue",0.42,0.75,1,0.33
27,"oovk5u7v","Without","First","true",4,4,"random","normal",2,4,"blue",0.48,1,1,0.52
28,"oovk5u7v","Without","First","true",1,3,"random","normal",2,4,"green",0.61,0.24,-1,-0.37
29,"oovk5u7v","Without","First","true",NA,4,"random","station_only",NA,NA,"blue",0.29,NA,1,NA
30,"oovk5u7v","Without","First","true",NA,5,"random","station_only",NA,NA,"blue",0.61,NA,1,NA
31,"oovk5u7v","Without","First","true",NA,3,"random","station_only",NA,NA,"blue",0.49,NA,1,NA
32,"oovk5u7v","Without","First","true",NA,0,"random","station_only",NA,NA,"blue",0.39,NA,1,NA
33,"oovk5u7v","Without","First","true",NA,1,"random","station_only",NA,NA,"blue",0.38,NA,1,NA
34,"oovk5u7v","Without","First","true",NA,2,"random","station_only",NA,NA,"blue",0.57,NA,1,NA
1,"oovk5u7v","Without","First","true",5,4,"helpful","normal",1,1,"blue",0.76,1,1,0.24
2,"oovk5u7v","Without","First","true",2,3,"helpful","normal",1,1,"blue",0.74,0.5,1,-0.24
3,"oovk5u7v","Without","First","true",1,0,"helpful","normal",1,1,"green",0.25,0,-1,-0.25
4,"oovk5u7v","Without","First","true",2,5,"helpful","normal",1,1,"blue",0.76,0.51,1,-0.25
5,"oovk5u7v","Without","First","true",5,4,"helpful","normal",1,1,"blue",0.77,1,1,0.23
6,"oovk5u7v","Without","First","true",0,1,"helpful","normal",1,1,"green",0.29,0,-1,-0.29
7,"oovk5u7v","Without","First","true",2,1,"helpful","normal",1,1,"green",0.23,0.11,-1,-0.12
8,"oovk5u7v","Without","First","true",1,0,"helpful","normal",1,2,"green",0.17,0,-1,-0.17
9,"oovk5u7v","Without","First","true",5,5,"helpful","normal",1,2,"blue",0.83,1,1,0.17
10,"oovk5u7v","Without","First","true",0,2,"helpful","normal",1,2,"green",0.46,0.23,-1,-0.23
11,"oovk5u7v","Without","First","true",4,5,"helpful","normal",1,2,"blue",0.84,1,1,0.16
12,"oovk5u7v","Without","First","true",3,3,"helpful","normal",1,2,"green",0.6,0.51,-1,-0.09
13,"oovk5u7v","Without","First","true",1,2,"helpful","normal",1,2,"green",0.36,0.17,-1,-0.19
14,"oovk5u7v","Without","First","true",4,4,"helpful","normal",1,2,"blue",0.8,1,1,0.2
15,"oovk5u7v","Without","First","true",3,2,"helpful","normal",2,3,"blue",0.33,0.73,1,0.4
16,"oovk5u7v","Without","First","true",2,2,"helpful","normal",2,3,"blue",0.33,0.18,1,-0.15
17,"oovk5u7v","Without","First","true",3,4,"helpful","normal",2,3,"blue",0.77,0.75,1,-0.02
18,"oovk5u7v","Without","First","true",4,2,"helpful","normal",2,3,"blue",0.22,0.5,1,0.28
19,"oovk5u7v","Without","First","true",1,2,"helpful","normal",2,3,"green",0.27,0,-1,-0.27
20,"oovk5u7v","Without","First","true",4,4,"helpful","normal",2,3,"blue",0.79,1,1,0.21
21,"oovk5u7v","Without","First","true",1,0,"helpful","normal",2,3,"green",0.13,0,-1,-0.13
22,"oovk5u7v","Without","First","true",1,1,"helpful","normal",2,4,"green",0.14,0,-1,-0.14
23,"oovk5u7v","Without","First","true",4,3,"helpful","normal",2,4,"blue",0.64,1,1,0.36
24,"oovk5u7v","Without","First","true",1,1,"helpful","normal",2,4,"green",0.21,0,-1,-0.21
25,"oovk5u7v","Without","First","true",1,1,"helpful","normal",2,4,"green",0.17,0,-1,-0.17
26,"oovk5u7v","Without","First","true",0,2,"helpful","normal",2,4,"green",0.34,0,-1,-0.34
27,"oovk5u7v","Without","First","true",2,1,"helpful","normal",2,4,"green",0.24,0,-1,-0.24
28,"oovk5u7v","Without","First","true",4,3,"helpful","normal",2,4,"blue",0.7,1,1,0.3
29,"oovk5u7v","Without","First","true",NA,2,"helpful","station_only",NA,NA,"blue",0.23,NA,1,NA
30,"oovk5u7v","Without","First","true",NA,5,"helpful","station_only",NA,NA,"blue",1,NA,1,NA
31,"oovk5u7v","Without","First","true",NA,3,"helpful","station_only",NA,NA,"blue",0.63,NA,1,NA
32,"oovk5u7v","Without","First","true",NA,1,"helpful","station_only",NA,NA,"blue",0,NA,1,NA
33,"oovk5u7v","Without","First","true",NA,4,"helpful","station_only",NA,NA,"blue",1,NA,1,NA
34,"oovk5u7v","Without","First","true",NA,0,"helpful","station_only",NA,NA,"blue",0,NA,1,NA
1,"oovk5u7v","Without","First","true",3,1,"opposite","normal",1,1,"blue",0.27,0.33,1,0.06
2,"oovk5u7v","Without","First","true",3,4,"opposite","normal",1,1,"green",0.76,0.9,-1,0.14
3,"oovk5u7v","Without","First","true",0,5,"opposite","normal",1,1,"green",0.87,0.49,-1,-0.38
4,"oovk5u7v","Without","First","true",3,0,"opposite","normal",1,1,"blue",0.39,0.57,1,0.18
5,"oovk5u7v","Without","First","true",1,4,"opposite","normal",1,1,"green",0.6,0.47,-1,-0.13
6,"oovk5u7v","Without","First","true",4,0,"opposite","normal",1,1,"blue",0.6,0.79,1,0.19
7,"oovk5u7v","Without","First","true",0,3,"opposite","normal",1,1,"green",0.45,0,-1,-0.45
8,"oovk5u7v","Without","First","true",2,4,"opposite","normal",1,2,"green",0.63,0.39,-1,-0.24
9,"oovk5u7v","Without","First","true",3,0,"opposite","normal",1,2,"blue",0.57,0.65,1,0.0800000000000001
10,"oovk5u7v","Without","First","true",3,3,"opposite","normal",1,2,"blue",0.51,0.66,1,0.15
11,"oovk5u7v","Without","First","true",1,4,"opposite","normal",1,2,"green",0.49,0.26,-1,-0.23
12,"oovk5u7v","Without","First","true",3,4,"opposite","normal",1,2,"green",0.36,0.54,-1,0.18
13,"oovk5u7v","Without","First","true",0,2,"opposite","normal",1,2,"green",0.35,0,-1,-0.35
14,"oovk5u7v","Without","First","true",4,1,"opposite","normal",1,2,"blue",0.4,0.81,1,0.41
15,"oovk5u7v","Without","First","true",0,4,"opposite","normal",2,3,"green",0.44,0,-1,-0.44
16,"oovk5u7v","Without","First","true",3,4,"opposite","normal",2,3,"blue",0.35,0.53,1,0.18
17,"oovk5u7v","Without","First","true",4,3,"opposite","normal",2,3,"blue",0.57,0.78,1,0.21
18,"oovk5u7v","Without","First","true",1,2,"opposite","normal",2,3,"green",0.38,0,-1,-0.38
19,"oovk5u7v","Without","First","true",1,5,"opposite","normal",2,3,"green",0.57,0.23,-1,-0.34
20,"oovk5u7v","Without","First","true",3,1,"opposite","normal",2,3,"blue",0.57,0.49,1,-0.08
21,"oovk5u7v","Without","First","true",4,2,"opposite","normal",2,3,"blue",0.32,0.79,1,0.47
22,"oovk5u7v","Without","First","true",1,4,"opposite","normal",2,4,"green",0.79,0.24,-1,-0.55
23,"oovk5u7v","Without","First","true",4,2,"opposite","normal",2,4,"blue",0.33,0.91,1,0.58
24,"oovk5u7v","Without","First","true",2,1,"opposite","normal",2,4,"blue",0.25,0.39,1,0.14
25,"oovk5u7v","Without","First","true",2,2,"opposite","normal",2,4,"blue",0.53,0.25,1,-0.28
26,"oovk5u7v","Without","First","true",0,5,"opposite","normal",2,4,"green",0.31,0.14,-1,-0.17
27,"oovk5u7v","Without","First","true",4,2,"opposite","normal",2,4,"blue",0.41,0.78,1,0.37
28,"oovk5u7v","Without","First","true",2,4,"opposite","normal",2,4,"green",0.39,0.23,-1,-0.16
29,"oovk5u7v","Without","First","true",NA,3,"opposite","station_only",NA,NA,"blue",0.24,NA,1,NA
30,"oovk5u7v","Without","First","true",NA,4,"opposite","station_only",NA,NA,"blue",0.24,NA,1,NA
31,"oovk5u7v","Without","First","true",NA,5,"opposite","station_only",NA,NA,"blue",0.18,NA,1,NA
32,"oovk5u7v","Without","First","true",NA,2,"opposite","station_only",NA,NA,"blue",0.76,NA,1,NA
33,"oovk5u7v","Without","First","true",NA,1,"opposite","station_only",NA,NA,"blue",0.75,NA,1,NA
34,"oovk5u7v","Without","First","true",NA,0,"opposite","station_only",NA,NA,"blue",0.84,NA,1,NA
1,"8m0d1z43","Without","First","true",4,2,"random","normal",1,1,"blue",0.32,0.58,1,0.26
2,"8m0d1z43","Without","First","true",0,2,"random","normal",1,1,"green",0.31,0.02,-1,-0.29
3,"8m0d1z43","Without","First","true",2,4,"random","normal",1,1,"green",0.84,0.78,-1,-0.0599999999999999
4,"8m0d1z43","Without","First","true",0,2,"random","normal",1,1,"green",0.34,0,-1,-0.34
5,"8m0d1z43","Without","First","true",1,4,"random","normal",1,1,"green",0.84,0.61,-1,-0.23
6,"8m0d1z43","Without","First","true",4,1,"random","normal",1,1,"blue",0.24,0.5,1,0.26
7,"8m0d1z43","Without","First","true",2,3,"random","normal",1,1,"green",0.58,0.3,-1,-0.28
8,"8m0d1z43","Without","First","true",5,3,"random","normal",1,2,"blue",0.4,1,1,0.6
9,"8m0d1z43","Without","First","true",0,3,"random","normal",1,2,"green",0.74,0.22,-1,-0.52
10,"8m0d1z43","Without","First","true",3,4,"random","normal",1,2,"blue",0.75,0.86,1,0.11
11,"8m0d1z43","Without","First","true",2,3,"random","normal",1,2,"green",0.76,0.57,-1,-0.19
12,"8m0d1z43","Without","First","true",3,3,"random","normal",1,2,"blue",0.53,0.82,1,0.29
13,"8m0d1z43","Without","First","true",3,1,"random","normal",1,2,"green",0.03,0.24,-1,0.21
14,"8m0d1z43","Without","First","true",4,2,"random","normal",1,2,"blue",0.23,0.59,1,0.36
15,"8m0d1z43","Without","First","true",3,1,"random","normal",2,3,"blue",0.29,0.56,1,0.27
16,"8m0d1z43","Without","First","true",4,3,"random","normal",2,3,"blue",0.61,0.93,1,0.32
17,"8m0d1z43","Without","First","true",4,2,"random","normal",2,3,"blue",0.35,0.65,1,0.3
18,"8m0d1z43","Without","First","true",4,1,"random","normal",2,3,"blue",0.11,0.48,1,0.37
19,"8m0d1z43","Without","First","true",4,1,"random","normal",2,3,"blue",0.09,0.5,1,0.41
20,"8m0d1z43","Without","First","true",3,3,"random","normal",2,3,"green",0.68,0.57,-1,-0.11
21,"8m0d1z43","Without","First","true",2,4,"random","normal",2,3,"blue",0.74,0.61,1,-0.13
22,"8m0d1z43","Without","First","true",1,3,"random","normal",2,4,"green",0.6,0.31,-1,-0.29
23,"8m0d1z43","Without","First","true",1,3,"random","normal",2,4,"green",0.73,0.37,-1,-0.36
24,"8m0d1z43","Without","First","true",5,3,"random","normal",2,4,"blue",0.5,0.97,1,0.47
25,"8m0d1z43","Without","First","true",2,3,"random","normal",2,4,"green",0.7,0.45,-1,-0.25
26,"8m0d1z43","Without","First","true",2,3,"random","normal",2,4,"green",0.78,0.64,-1,-0.14
27,"8m0d1z43","Without","First","true",1,2,"random","normal",2,4,"green",0.38,0.24,-1,-0.14
28,"8m0d1z43","Without","First","true",3,1,"random","normal",2,4,"blue",0.26,0.69,1,0.43
29,"8m0d1z43","Without","First","true",NA,0,"random","station_only",NA,NA,"blue",0,NA,1,NA
30,"8m0d1z43","Without","First","true",NA,5,"random","station_only",NA,NA,"blue",1,NA,1,NA
31,"8m0d1z43","Without","First","true",NA,2,"random","station_only",NA,NA,"blue",0.33,NA,1,NA
32,"8m0d1z43","Without","First","true",NA,3,"random","station_only",NA,NA,"blue",0.62,NA,1,NA
33,"8m0d1z43","Without","First","true",NA,1,"random","station_only",NA,NA,"blue",0.36,NA,1,NA
34,"8m0d1z43","Without","First","true",NA,4,"random","station_only",NA,NA,"blue",0.78,NA,1,NA
1,"8m0d1z43","Without","First","true",5,2,"opposite","normal",1,1,"blue",0.32,0.8,1,0.48
2,"8m0d1z43","Without","First","true",5,1,"opposite","normal",1,1,"blue",0.16,0.49,1,0.33
3,"8m0d1z43","Without","First","true",0,4,"opposite","normal",1,1,"green",0.82,0.37,-1,-0.45
4,"8m0d1z43","Without","First","true",1,4,"opposite","normal",1,1,"green",0.64,0.22,-1,-0.42
5,"8m0d1z43","Without","First","true",0,3,"opposite","normal",1,1,"green",0.51,0.15,-1,-0.36
6,"8m0d1z43","Without","First","true",4,3,"opposite","normal",1,1,"blue",0.29,0.73,1,0.44
7,"8m0d1z43","Without","First","true",1,3,"opposite","normal",1,1,"green",0.67,0.37,-1,-0.3
8,"8m0d1z43","Without","First","true",1,3,"opposite","normal",1,2,"green",0.23,0.13,-1,-0.1
9,"8m0d1z43","Without","First","true",4,3,"opposite","normal",1,2,"blue",0.29,0.57,1,0.28
10,"8m0d1z43","Without","First","true",5,0,"opposite","normal",1,2,"blue",0.18,0.78,1,0.6
11,"8m0d1z43","Without","First","true",3,1,"opposite","normal",1,2,"blue",0.64,0.77,1,0.13
12,"8m0d1z43","Without","First","true",2,4,"opposite","normal",1,2,"green",0.38,0.31,-1,-0.07
13,"8m0d1z43","Without","First","true",1,4,"opposite","normal",1,2,"green",0.5,0.23,-1,-0.27
14,"8m0d1z43","Without","First","true",4,3,"opposite","normal",1,2,"blue",0.42,0.75,1,0.33
15,"8m0d1z43","Without","First","true",1,3,"opposite","normal",2,3,"green",0.59,0.52,-1,-0.07
16,"8m0d1z43","Without","First","true",1,5,"opposite","normal",2,3,"green",0.81,0.47,-1,-0.34
17,"8m0d1z43","Without","First","true",3,2,"opposite","normal",2,3,"blue",0.54,0.62,1,0.08
18,"8m0d1z43","Without","First","true",5,5,"opposite","normal",2,3,"green",0.71,1,-1,0.29
19,"8m0d1z43","Without","First","true",4,0,"opposite","normal",2,3,"blue",0.1,0.24,1,0.14
20,"8m0d1z43","Without","First","true",0,4,"opposite","normal",2,3,"green",0.72,0.5,-1,-0.22
21,"8m0d1z43","Without","First","true",3,1,"opposite","normal",2,3,"blue",0.14,0.35,1,0.21
22,"8m0d1z43","Without","First","true",0,4,"opposite","normal",2,4,"green",0.67,0.4,-1,-0.27
23,"8m0d1z43","Without","First","true",1,5,"opposite","normal",2,4,"green",0.7,0.5,-1,-0.2
24,"8m0d1z43","Without","First","true",1,5,"opposite","normal",2,4,"green",0.61,0.33,-1,-0.28
25,"8m0d1z43","Without","First","true",2,2,"opposite","normal",2,4,"blue",0.38,0.3,1,-0.08
26,"8m0d1z43","Without","First","true",3,0,"opposite","normal",2,4,"blue",0.3,0.43,1,0.13
27,"8m0d1z43","Without","First","true",2,2,"opposite","normal",2,4,"blue",0.5,0.37,1,-0.13
28,"8m0d1z43","Without","First","true",5,3,"opposite","normal",2,4,"blue",0.6,0.76,1,0.16
29,"8m0d1z43","Without","First","true",NA,1,"opposite","station_only",NA,NA,"blue",0.51,NA,1,NA
30,"8m0d1z43","Without","First","true",NA,5,"opposite","station_only",NA,NA,"blue",0.67,NA,1,NA
31,"8m0d1z43","Without","First","true",NA,2,"opposite","station_only",NA,NA,"blue",0.66,NA,1,NA
32,"8m0d1z43","Without","First","true",NA,3,"opposite","station_only",NA,NA,"blue",0.42,NA,1,NA
33,"8m0d1z43","Without","First","true",NA,4,"opposite","station_only",NA,NA,"blue",0.48,NA,1,NA
34,"8m0d1z43","Without","First","true",NA,0,"opposite","station_only",NA,NA,"blue",0.3,NA,1,NA
1,"8m0d1z43","Without","First","true",2,2,"bluebias","normal",1,1,"green",0.28,0.18,-1,-0.1
2,"8m0d1z43","Without","First","true",4,5,"bluebias","normal",1,1,"blue",0.85,0.98,1,0.13
3,"8m0d1z43","Without","First","true",2,4,"bluebias","normal",1,1,"blue",0.88,0.76,1,-0.12
4,"8m0d1z43","Without","First","true",0,2,"bluebias","normal",1,1,"green",0.27,0.02,-1,-0.25
5,"8m0d1z43","Without","First","true",3,5,"bluebias","normal",1,1,"blue",0.89,0.93,1,0.04
6,"8m0d1z43","Without","First","true",2,2,"bluebias","normal",1,1,"green",0.33,0.29,-1,-0.04
7,"8m0d1z43","Without","First","true",3,5,"bluebias","normal",1,1,"blue",0.88,0.91,1,0.03
8,"8m0d1z43","Without","First","true",3,5,"bluebias","normal",1,2,"blue",0.9,0.8,1,-0.1
9,"8m0d1z43","Without","First","true",2,3,"bluebias","normal",1,2,"green",0.74,0.5,-1,-0.24
10,"8m0d1z43","Without","First","true",4,4,"bluebias","normal",1,2,"blue",0.83,0.91,1,0.0800000000000001
11,"8m0d1z43","Without","First","true",3,4,"bluebias","normal",1,2,"blue",0.86,0.92,1,0.0600000000000001
12,"8m0d1z43","Without","First","true",1,1,"bluebias","normal",1,2,"green",0.25,0.15,-1,-0.1
13,"8m0d1z43","Without","First","true",2,4,"bluebias","normal",1,2,"green",0.8,0.63,-1,-0.17
14,"8m0d1z43","Without","First","true",2,5,"bluebias","normal",1,2,"blue",0.94,0.82,1,-0.12
15,"8m0d1z43","Without","First","true",1,3,"bluebias","normal",2,3,"green",0.6,0.43,-1,-0.17
16,"8m0d1z43","Without","First","true",2,4,"bluebias","normal",2,3,"blue",0.82,0.63,1,-0.19
17,"8m0d1z43","Without","First","true",2,1,"bluebias","normal",2,3,"green",0.08,0,-1,-0.08
18,"8m0d1z43","Without","First","true",5,5,"bluebias","normal",2,3,"blue",0.91,1,1,0.09
19,"8m0d1z43","Without","First","true",1,2,"bluebias","normal",2,3,"green",0.44,0.17,-1,-0.27
20,"8m0d1z43","Without","First","true",3,3,"bluebias","normal",2,3,"blue",0.5,0.75,1,0.25
21,"8m0d1z43","Without","First","true",4,4,"bluebias","normal",2,3,"blue",0.83,1,1,0.17
22,"8m0d1z43","Without","First","true",1,1,"bluebias","normal",2,4,"green",0.09,0.04,-1,-0.05
23,"8m0d1z43","Without","First","true",2,2,"bluebias","normal",2,4,"green",0.5,0.34,-1,-0.16
24,"8m0d1z43","Without","First","true",2,3,"bluebias","normal",2,4,"green",0.69,0.5,-1,-0.19
25,"8m0d1z43","Without","First","true",4,4,"bluebias","normal",2,4,"blue",0.87,0.95,1,0.08
26,"8m0d1z43","Without","First","true",1,2,"bluebias","normal",2,4,"green",0.35,0.13,-1,-0.22
27,"8m0d1z43","Without","First","true",5,4,"bluebias","normal",2,4,"blue",0.83,1,1,0.17
28,"8m0d1z43","Without","First","true",2,2,"bluebias","normal",2,4,"green",0.3,0.15,-1,-0.15
29,"8m0d1z43","Without","First","true",NA,5,"bluebias","station_only",NA,NA,"blue",0.93,NA,1,NA
30,"8m0d1z43","Without","First","true",NA,0,"bluebias","station_only",NA,NA,"blue",0,NA,1,NA
31,"8m0d1z43","Without","First","true",NA,3,"bluebias","station_only",NA,NA,"blue",0.7,NA,1,NA
32,"8m0d1z43","Without","First","true",NA,1,"bluebias","station_only",NA,NA,"blue",0.15,NA,1,NA
33,"8m0d1z43","Without","First","true",NA,4,"bluebias","station_only",NA,NA,"blue",0.91,NA,1,NA
34,"8m0d1z43","Without","First","true",NA,2,"bluebias","station_only",NA,NA,"blue",0.4,NA,1,NA
1,"8m0d1z43","Without","First","true",5,3,"helpful","normal",1,1,"blue",0.6,0.9,1,0.3
2,"8m0d1z43","Without","First","true",5,4,"helpful","normal",1,1,"blue",0.78,1,1,0.22
3,"8m0d1z43","Without","First","true",3,0,"helpful","normal",1,1,"green",0.28,0.41,-1,0.13
4,"8m0d1z43","Without","First","true",1,3,"helpful","normal",1,1,"green",0.74,0.49,-1,-0.25
5,"8m0d1z43","Without","First","true",4,1,"helpful","normal",1,1,"green",0.31,0.5,-1,0.19
6,"8m0d1z43","Without","First","true",0,1,"helpful","normal",1,1,"green",0.19,0.04,-1,-0.15
7,"8m0d1z43","Without","First","true",4,4,"helpful","normal",1,1,"blue",0.77,0.89,1,0.12
8,"8m0d1z43","Without","First","true",1,0,"helpful","normal",1,2,"green",0.04,0,-1,-0.04
9,"8m0d1z43","Without","First","true",4,4,"helpful","normal",1,2,"blue",0.81,0.93,1,0.12
10,"8m0d1z43","Without","First","true",1,1,"helpful","normal",1,2,"green",0.11,0.04,-1,-0.07
11,"8m0d1z43","Without","First","true",4,3,"helpful","normal",1,2,"blue",0.78,0.94,1,0.16
12,"8m0d1z43","Without","First","true",4,4,"helpful","normal",1,2,"blue",0.91,0.96,1,0.0499999999999999
13,"8m0d1z43","Without","First","true",2,0,"helpful","normal",1,2,"green",0.04,0.08,-1,0.04
14,"8m0d1z43","Without","First","true",3,3,"helpful","normal",1,2,"blue",0.62,0.75,1,0.13
15,"8m0d1z43","Without","First","true",3,4,"helpful","normal",2,3,"blue",0.85,0.95,1,0.1
16,"8m0d1z43","Without","First","true",4,3,"helpful","normal",2,3,"blue",0.5,0.63,1,0.13
17,"8m0d1z43","Without","First","true",1,1,"helpful","normal",2,3,"green",0.3,0.14,-1,-0.16
18,"8m0d1z43","Without","First","true",4,2,"helpful","normal",2,3,"blue",0.31,0.41,1,0.1
19,"8m0d1z43","Without","First","true",2,2,"helpful","normal",2,3,"green",0.21,0.14,-1,-0.07
20,"8m0d1z43","Without","First","true",5,4,"helpful","normal",2,3,"blue",0.8,0.96,1,0.16
21,"8m0d1z43","Without","First","true",1,2,"helpful","normal",2,3,"green",0.38,0.25,-1,-0.13
22,"8m0d1z43","Without","First","true",1,2,"helpful","normal",2,4,"green",0.35,0.07,-1,-0.28
23,"8m0d1z43","Without","First","true",1,0,"helpful","normal",2,4,"green",0.17,0.01,-1,-0.16
24,"8m0d1z43","Without","First","true",0,2,"helpful","normal",2,4,"green",0.34,0.05,-1,-0.29
25,"8m0d1z43","Without","First","true",3,1,"helpful","normal",2,4,"green",0.26,0.5,-1,0.24
26,"8m0d1z43","Without","First","true",4,2,"helpful","normal",2,4,"blue",0.39,0.65,1,0.26
27,"8m0d1z43","Without","First","true",3,3,"helpful","normal",2,4,"blue",0.65,0.7,1,0.0499999999999999
